Ticker,Company,Sector,Price,ScanPrice,ATR14,ATRPercent,ADV30,DollarVolume30,SMA50,SMA200,TrendScore15,SupportType,Support,PctAboveSupport,EntryZone,SupportTests,Bounce1Pct,Bounce2Pct,Confluence,RS20vsSPY,RS60vsSPY,SectorRS20,UpDownVolumeRatio,OBVChangePct,SuggestedStop,Target1,Target2,RR_Target1,RR_Target2,NextEarnings,EarningsTiming,DaysToEarnings,RecentNews,LiquidityPts10,TrendPts15,SupportPts20,RSPts15,AccumulationPts10,RRPts15,SectorPts5,CatalystPts5,QualityPts5,Score100,SetupScore100,QUALIFIES,Classification
SAIL,"SailPoint, Inc.",Technology,22.07,22.07,1.31,5.92,4346273,84777620,18.23,16.07,15,BreakoutRetest,20.15,9.54,Extended,2,11.37,10.81,0,21.44,48.49,15.57,1.24,227.47,19.5,24.69,27.3,1.01,2.03,2026-12-08,,75.0,True,7,15,12,15,9,9,5,5,5,82,82,False,Institutional Watchlist
OCTO,Eightco Holdings Inc.,Consumer Cyclical,24.11,24.11,8.28,34.34,7755535,339308966,3.56,1.97,15,BreakoutRetest,1.54,1465.58,Extended,2,5554.42,5516.22,0,1486.48,1976.17,1492.44,15.46,99.4,-2.6,83.12,99.68,2.21,2.83,,,,False,8,15,12,15,10,11,5,4,1,81,81,False,Institutional Watchlist
NVAX,"Novavax, Inc.",Healthcare,10.66,10.66,0.59,5.52,5571517,53378917,8.78,8.77,15,BreakoutRetest,10.75,-0.83,Support Test / Reclaim,2,7.93,8.62,0,16.05,10.89,17.89,1.3,45.13,10.46,10.94,11.05,1.36,1.89,2026-11-05,,42.0,True,7,15,14,14,9,6,5,5,5,80,80,False,Institutional Watchlist
