Ticker,Company,Sector,Price,ScanPrice,ATR14,ATRPercent,ADV30,DollarVolume30,SMA50,SMA200,TrendScore15,SupportType,Support,PctAboveSupport,EntryZone,SupportTests,Bounce1Pct,Bounce2Pct,Confluence,RS20vsSPY,RS60vsSPY,SectorRS20,UpDownVolumeRatio,OBVChangePct,SuggestedStop,Target1,Target2,RR_Target1,RR_Target2,NextEarnings,EarningsTiming,DaysToEarnings,RecentNews,LiquidityPts10,TrendPts15,SupportPts20,RSPts15,AccumulationPts10,RRPts15,SectorPts5,CatalystPts5,QualityPts5,Score100,SetupScore100,QUALIFIES,Classification,PriorClose,PremarketPrice,PremarketVolume,ExecutionPrice,PriceSource,PremarketGapPct,CurrentPctFromSupport,CurrentRisk,CurrentRR_T1,CurrentRR_T2,SetupStatus,ActionabilityScore100
SMTC,Semtech Corporation,Technology,174.33,174.33,11.62,6.67,3473428,517432631,138.51,112.8,15,BreakoutRetest,171.37,1.73,Prime Entry,2,19.08,24.52,0,42.88,10.32,35.17,1.22,9.35,165.56,177.35,220.81,0.34,5.3,2026-11-23,,61.0,True,8,15,16,14,9,15,5,5,4,91,91,True,A Setup,174.33,173.35,23165.0,173.35,EXTENDED_HOURS,-0.56,1.155394759876285,7.789999999999992,0.5134788189987168,6.092426187419776,WATCH,94.6
SAIL,"SailPoint, Inc.",Technology,21.37,21.37,1.33,6.23,4290471,82979223,17.97,16.05,15,BreakoutRetest,20.15,6.05,Watch for Pullback,2,21.78,10.24,0,16.57,56.05,8.86,1.28,176.44,19.48,24.03,26.7,1.41,2.83,2026-12-08,,76.0,True,7,15,12,15,9,11,5,5,5,84,84,False,Institutional Watchlist,21.37,21.46,19673.0,21.46,EXTENDED_HOURS,0.44,6.501240694789094,1.9800000000000004,1.2979797979797978,2.6464646464646453,WATCH,72.4
OCTO,Eightco Holdings Inc.,Consumer Cyclical,24.11,24.11,8.28,34.34,7755535,339308966,3.56,1.97,15,BreakoutRetest,1.54,1465.58,Extended,2,5554.42,5516.22,0,1484.89,1972.36,1491.23,15.46,99.4,-2.6,83.12,99.68,2.21,2.83,,,,False,8,15,12,15,10,11,5,4,1,81,81,False,Institutional Watchlist,24.11,9.03,6283310.0,9.03,EXTENDED_HOURS,-62.55,486.3636363636363,11.629999999999999,6.370593293207223,7.794496990541703,EXTENDED,68.6
SMCI,"Super Micro Computer, Inc.",Technology,41.54,41.54,2.41,5.8,49152657,1861288876,34.09,31.68,15,BreakoutRetest,36.8,12.88,Extended,2,16.56,14.73,0,16.81,29.53,9.1,1.24,9.98,35.6,42.31,51.4,0.13,1.66,2026-11-03,,41.0,True,10,15,12,15,9,6,5,5,5,82,82,False,Institutional Watchlist,41.54,41.41,734631.0,41.41,EXTENDED_HOURS,-0.31,12.527173913043477,5.809999999999995,0.1549053356282283,1.7194492254733236,EXTENDED,55.2
