Ticker,Company,Sector,Price,ScanPrice,ATR14,ATRPercent,ADV30,DollarVolume30,SMA50,SMA200,TrendScore15,SupportType,Support,PctAboveSupport,EntryZone,SupportTests,Bounce1Pct,Bounce2Pct,Confluence,RS20vsSPY,RS60vsSPY,SectorRS20,UpDownVolumeRatio,OBVChangePct,SuggestedStop,Target1,Target2,RR_Target1,RR_Target2,NextEarnings,EarningsTiming,DaysToEarnings,RecentNews,LiquidityPts10,TrendPts15,SupportPts20,RSPts15,AccumulationPts10,RRPts15,SectorPts5,CatalystPts5,QualityPts5,Score100,SetupScore100,QUALIFIES,Classification
CART,Maplebear Inc.,Technology,50.67,50.67,2.06,4.06,4378956,207746675,46.12,41.58,15,BreakoutRetest,49.21,2.97,Buyable,2,6.41,6.99,0,10.38,19.78,11.41,1.32,13.73,48.18,54.79,58.9,1.65,3.31,2026-11-09,,81.0,True,8,15,14,15,9,13,5,5,5,89,89,True,B+ Setup
NTAP,"NetApp, Inc.",Technology,194.48,194.48,8.18,4.21,2582087,467087146,171.91,126.12,15,BreakoutRetest,192.83,0.86,Prime Entry,2,13.19,12.14,0,13.88,36.41,14.91,0.93,222.52,188.74,209.06,227.2,2.54,5.7,2026-09-02,,13.0,True,8,15,16,15,4,15,5,4,4,86,86,True,B+ Setup
