Ticker,Company,Sector,Price,ADV30,DollarVolume30,SMA50,SMA200,TrendScore15,SupportType,Support,PctAboveSupport,EntryZone,SupportTests,Bounce1Pct,Bounce2Pct,Confluence,RS20vsSPY,RS60vsSPY,SectorRS20,UpDownVolumeRatio,OBVChangePct,SuggestedStop,Target1,Target2,RR_Target1,RR_Target2,NextEarnings,EarningsTiming,DaysToEarnings,RecentNews,LiquidityPts10,TrendPts15,SupportPts20,RSPts15,AccumulationPts10,RRPts15,SectorPts5,CatalystPts5,QualityPts5,Score100,QUALIFIES,Classification
AIMC,Altra Industrial Motion Corp.,Industrials,61.98,1619408,99594622,61.29,49.19,15,,,,No Valid Support,0,,,0,-3.72,-2.11,-3.23,1.02,-79.17,,,,,,,,,False,7,15,0,0,3,0,0,4,3,32,False,Below Threshold
BECN,"Beacon Roofing Supply, Inc.",Industrials,124.17,4132941,510406677,120.57,104.48,15,,,,No Valid Support,0,,,0,-4.07,-0.88,-3.58,0.54,-1.18,,,,,,,,,False,8,15,0,0,0,0,0,4,5,32,False,Below Threshold
CZR,"Caesars Entertainment, Inc.",Consumer Cyclical,29.75,4201129,125488160,29.79,25.75,14,,,,No Valid Support,0,,,0,-4.81,2.37,-2.76,0.82,-15.3,,,,,,,,,False,8,14,0,2,0,0,2,4,2,32,False,Below Threshold
EA,Electronic Arts Inc.,Technology,209.7,3731982,779065093,205.97,203.04,15,,,,No Valid Support,0,,,0,-2.82,-1.05,-6.59,0.23,-39.99,,,,,,,,,False,8,15,0,0,0,0,0,4,5,32,False,Below Threshold
FTAI,FTAI Aviation Ltd.,Industrials,217.13,1617122,345850512,232.1,231.85,8,,,,No Valid Support,0,,,0,0.21,-8.65,0.7,1.38,-5.51,,,,,,,,,False,7,8,0,3,5,0,3,4,2,32,False,Below Threshold
IONS,"Ionis Pharmaceuticals, Inc.",Healthcare,57.24,3843171,225450160,65.49,74.34,0,,,,No Valid Support,0,,,0,0.79,-28.29,1.34,1.29,17.71,,,,,,,,,False,8,0,0,3,9,0,3,4,5,32,False,Below Threshold
ATNF,ETHZilla Corporation Common Stock,Healthcare,2.41,22240336,151511739,3.18,1.79,12,BreakoutRetest,3.48,-30.75,Broken / Reclaim Needed,2,472.46,483.95,0,-81.92,145.23,-81.38,0.63,-13.02,3.25,3.19,3.48,,,,,,False,8,12,0,7,0,0,0,4,0,31,False,Below Threshold
SIRI,Sirius XM Holdings Inc.,Communication Services,28.46,4053875,122755373,29.39,24.51,12,BreakoutRetest,30.11,-5.48,Broken / Reclaim Needed,2,9.97,4.09,0,-11.41,3.44,-9.04,1.12,-75.59,29.51,28.77,30.11,,,,,,False,8,12,0,4,3,0,0,4,0,31,False,Below Threshold
PYCR,"Paycor HCM, Inc.",Technology,22.49,2677644,60024403,22.32,17.48,15,,,,No Valid Support,0,,,0,-3.95,-4.0,-7.72,0.58,-15.3,,,,,,,,,False,7,15,0,0,0,0,0,4,5,31,False,Below Threshold
TNGX,"Tango Therapeutics, Inc.",Healthcare,25.6,2375953,66782990,28.62,18.4,12,BreakoutRetest,28.41,-9.89,Broken / Reclaim Needed,2,8.35,9.84,1,-14.81,20.3,-14.26,0.8,-2.05,27.59,28.09,28.41,,,,,,False,7,12,0,7,0,0,0,4,0,30,False,Below Threshold
ACMR,"ACM Research, Inc.",Technology,80.42,1021966,87411032,90.72,60.15,9,SMA50,89.18,-9.82,Broken / Reclaim Needed,2,14.97,12.8,0,-8.62,15.22,-12.38,1.08,-1.09,85.54,85.0,92.55,,,,,,False,7,9,0,7,3,0,0,4,0,30,False,Below Threshold
VBTX,"Veritex Holdings, Inc.",Financial Services,30.26,2104560,66649485,32.99,27.68,9,SMA50,33.03,-8.38,Broken / Reclaim Needed,2,3.7,3.58,1,-14.36,-11.72,-13.29,2.68,249.46,32.37,31.5,32.1,,,,,,False,7,9,0,0,10,0,0,4,0,30,False,Below Threshold
CYTK,"Cytokinetics, Incorporated",Healthcare,74.13,1867812,149620338,78.84,68.83,12,SMA50,78.61,-5.7,Broken / Reclaim Needed,2,6.61,4.06,1,-11.99,-8.84,-11.44,1.07,5.89,77.04,78.84,78.85,,,,,,False,7,12,0,0,7,0,0,4,0,30,False,Below Threshold
EXEL,"Exelixis, Inc.",Healthcare,51.24,2649644,145195933,54.14,46.54,12,SMA50,53.77,-4.7,Broken / Reclaim Needed,2,7.88,4.6,1,-12.82,-0.53,-12.27,0.98,19.32,52.69,52.96,53.93,,,,,,False,8,12,0,0,4,0,0,4,2,30,False,Below Threshold
CELC,Celcuity Inc.,Healthcare,92.0,1489056,138688470,93.58,105.14,6,SMA50,94.73,-2.88,Broken / Reclaim Needed,2,5.72,10.59,1,-0.35,-35.56,0.2,1.05,1.65,92.22,95.21,95.97,,,,,,False,7,6,0,0,5,0,3,4,5,30,False,Below Threshold
ALGM,"Allegro MicroSystems, Inc.",Technology,44.39,2415113,114423943,50.19,38.69,9,,,,No Valid Support,0,,,0,-8.94,0.77,-12.71,0.8,17.2,,,,,,,,,False,8,9,0,2,4,0,0,4,3,30,False,Below Threshold
CFLT,"Confluent, Inc.",Technology,30.99,15728271,480778639,30.58,24.86,15,,,,No Valid Support,0,,,0,-3.5,-2.51,-7.27,0.99,-7.11,,,,,,,,,False,8,15,0,0,0,0,0,4,3,30,False,Below Threshold
TROW,"T. Rowe Price Group, Inc.",Financial Services,110.56,1993057,231309029,113.26,102.98,12,,,,No Valid Support,0,,,0,-10.23,2.88,-9.16,1.12,-59.89,,,,,,,,,False,7,12,0,2,3,0,0,4,1,29,False,Below Threshold
XRAY,DENTSPLY SIRONA Inc.,Healthcare,11.59,5131647,66139835,11.9,11.78,11,BreakoutRetest,13.01,-10.91,Broken / Reclaim Needed,2,10.06,12.02,0,-21.96,13.19,-21.41,0.83,-11066.23,12.67,11.79,11.88,,,,,,False,7,11,0,6,0,0,0,4,0,28,False,Below Threshold
COMM,"CommScope Holding Company, Inc.",Technology,17.66,4016846,72511106,18.3,14.96,9,BreakoutRetest,19.08,-7.44,Broken / Reclaim Needed,2,5.43,5.18,0,-12.47,-9.57,-16.23,1.15,3.58,18.66,17.92,17.93,,,,,,False,7,9,0,0,5,0,0,4,3,28,False,Below Threshold
LNTH,"Lantheus Holdings, Inc.",Healthcare,100.95,1575312,160972423,104.02,80.76,12,BreakoutRetest,107.99,-6.52,Broken / Reclaim Needed,2,6.74,4.64,0,-10.62,2.87,-10.07,0.91,-42.34,105.83,102.05,102.9,,,,,,False,7,12,0,2,0,0,0,4,3,28,False,Below Threshold
GOOG,Alphabet Inc.,Communication Services,343.54,19448875,6773069234,352.31,330.5,9,SMA50,362.98,-5.36,Broken / Reclaim Needed,2,5.25,12.58,0,-5.19,-16.55,-2.82,1.0,-17.92,355.72,350.15,369.69,,,,,,False,10,9,0,0,3,0,2,4,0,28,False,Below Threshold
AMKR,"Amkor Technology, Inc.",Technology,58.99,5466336,314056588,67.98,54.9,9,,,,No Valid Support,0,,,0,-10.72,-15.8,-14.49,0.48,19.94,,,,,,,,,False,8,9,0,0,4,0,0,4,3,28,False,Below Threshold
ON,ON Semiconductor Corporation,Technology,82.66,9892017,851386807,96.95,76.43,9,,,,No Valid Support,0,,,0,-9.84,-27.84,-13.6,0.94,70.07,,,,,,,,,False,9,9,0,0,4,0,0,4,2,28,False,Below Threshold
BAND,Bandwidth Inc.,Technology,53.97,1223101,69081119,58.85,31.12,9,BreakoutRetest,66.97,-19.41,Broken / Reclaim Needed,2,30.37,12.63,0,-29.29,-5.64,-33.06,0.85,5.61,64.56,62.24,66.97,,,,,,False,7,9,0,0,4,0,0,4,3,27,False,Below Threshold
CDNS,"Cadence Design Systems, Inc.",Technology,324.82,2234296,764510191,361.26,327.6,5,BreakoutRetest,383.8,-15.37,Broken / Reclaim Needed,2,6.94,3.89,0,-6.05,-9.74,-9.81,1.19,24.97,376.12,328.59,328.64,,,,,,False,8,5,0,0,7,0,0,4,3,27,False,Below Threshold
QS,QuantumScape Corporation,Consumer Cyclical,6.19,24761266,144763628,6.53,8.75,0,BreakoutRetest,6.56,-5.64,Broken / Reclaim Needed,2,10.34,11.6,1,1.18,-21.01,3.24,0.61,28.63,6.4,6.53,6.56,,,,,,False,8,0,0,3,4,0,4,4,4,27,False,Below Threshold
TXN,Texas Instruments Incorporated,Technology,279.58,7360378,2105625470,292.14,231.76,9,BreakoutRetest,292.64,-4.46,Broken / Reclaim Needed,2,10.49,4.97,1,-6.01,-13.33,-9.78,0.95,19.81,286.79,285.58,287.83,,,,,,False,9,9,0,0,4,0,0,4,1,27,False,Below Threshold
MCHP,Microchip Technology Incorporated,Technology,79.17,10716429,862955637,85.73,76.14,9,,,,No Valid Support,0,,,0,-6.66,-19.57,-10.42,1.09,-10.04,,,,,,,,,False,9,9,0,0,3,0,0,4,2,27,False,Below Threshold
CIFR,Cipher Mining Inc.,Financial Services,17.86,30757168,622612853,22.15,18.61,8,BreakoutRetest,22.97,-22.25,Broken / Reclaim Needed,2,21.48,29.13,1,-2.74,-10.81,-1.67,1.02,-19.31,21.64,18.31,19.05,,,,,,False,9,8,0,0,3,0,2,4,0,26,False,Below Threshold
HST,"Host Hotels & Resorts, Inc.",Real Estate,22.9,9822763,234261512,24.14,20.51,12,BreakoutRetest,24.9,-8.03,Broken / Reclaim Needed,2,5.8,4.73,0,-8.79,-0.71,-4.01,0.75,-154.11,24.4,23.54,23.56,,,,,,False,8,12,0,0,0,0,0,4,2,26,False,Below Threshold
NXT,Nextpower Inc.,Technology,101.47,2878426,291314008,110.19,109.48,8,,,,No Valid Support,0,,,0,-6.03,-25.99,-9.79,0.96,52.73,,,,,,,,,False,8,8,0,0,4,0,0,4,2,26,False,Below Threshold
GOOGL,Alphabet Inc.,Communication Services,345.9,29182351,10198029119,353.89,331.38,9,SMA50,365.37,-5.33,Broken / Reclaim Needed,2,4.89,13.08,0,-4.7,-16.58,-2.33,0.94,-15.23,358.06,372.08,373.16,,,,,,False,10,9,0,0,0,0,2,4,0,25,False,Below Threshold
CSCO,"Cisco Systems, Inc.",Technology,111.68,22396689,2594531272,117.42,91.97,9,SMA50,117.73,-5.14,Broken / Reclaim Needed,2,9.5,8.56,1,-4.68,-9.01,-8.44,0.82,-4.25,115.37,117.28,119.1,,,,,,False,10,9,0,0,0,0,0,4,2,25,False,Below Threshold
MKSI,MKS Inc.,Technology,310.73,1428789,454191531,342.87,252.98,9,BreakoutRetest,326.83,-4.93,Broken / Reclaim Needed,2,13.65,10.38,0,-8.75,-0.13,-12.51,0.9,0.08,315.61,317.0,326.83,,,,,,False,7,9,0,0,2,0,0,4,3,25,False,Below Threshold
AEP,"American Electric Power Company, Inc.",Utilities,125.6,3977159,519935558,131.11,126.68,8,SMA50,131.24,-4.29,Broken / Reclaim Needed,2,4.6,3.2,1,-9.4,-8.38,-3.05,0.78,3.78,128.61,128.89,129.89,,,,,,False,8,8,0,0,2,0,0,4,3,25,False,Below Threshold
LKQ,LKQ Corporation,Consumer Cyclical,25.42,3216896,79396183,25.37,29.19,4,SMA50,26.01,-2.25,Broken / Reclaim Needed,2,9.47,9.29,1,-4.29,-2.22,-2.23,0.71,5070.08,25.45,26.16,26.39,,,,,,False,7,4,0,0,4,0,2,4,4,25,False,Below Threshold
LGN,Legence Corp. Class A Common stock,Industrials,66.38,1405262,93535595,73.99,61.09,9,,,,No Valid Support,0,,,0,-7.17,-23.22,-6.68,0.96,3.7,,,,,,,,,False,7,9,0,0,2,0,0,4,3,25,False,Below Threshold
PTCT,"PTC Therapeutics, Inc.",Healthcare,71.7,1318309,101541436,77.37,73.34,11,BreakoutRetest,87.03,-17.61,Broken / Reclaim Needed,2,9.88,5.05,0,-13.21,-3.83,-12.67,0.83,3.62,85.29,72.54,73.79,,,,,,False,7,11,0,0,2,0,0,4,0,24,False,Below Threshold
UCTT,"Ultra Clean Holdings, Inc.",Technology,84.93,1460134,132609694,99.12,63.64,9,SMA50,98.61,-13.87,Broken / Reclaim Needed,2,15.09,14.57,1,-12.56,4.52,-16.33,0.86,-6.81,94.0,87.68,88.37,,,,,,False,7,9,0,4,0,0,0,4,0,24,False,Below Threshold
COCO,"The Vita Coco Company, Inc.",Consumer Defensive,65.21,1119131,76762091,72.0,59.59,9,SMA50,75.5,-13.63,Broken / Reclaim Needed,2,9.11,7.37,1,-15.34,-20.51,-11.95,0.9,12.88,73.99,66.5,69.57,,,,,,False,7,9,0,0,4,0,0,4,0,24,False,Below Threshold
VTRS,Viatris Inc.,Healthcare,16.23,10442406,176348187,16.58,14.27,12,BreakoutRetest,17.53,-7.42,Broken / Reclaim Needed,2,4.07,6.24,0,-10.58,-5.44,-10.03,0.73,-16.26,17.18,16.41,16.47,,,,,,False,8,12,0,0,0,0,0,4,0,24,False,Below Threshold
EBAY,eBay Inc.,Consumer Cyclical,103.14,3911671,434481518,110.57,97.26,9,SMA50,111.4,-7.41,Broken / Reclaim Needed,2,3.02,8.24,1,-12.41,-15.52,-10.35,1.04,-0.83,109.17,107.34,109.5,,,,,,False,8,9,0,0,3,0,0,4,0,24,False,Below Threshold
CORZ,"Core Scientific, Inc.",Technology,20.18,12419351,266248491,23.85,19.81,9,BreakoutRetest,21.73,-7.13,Broken / Reclaim Needed,2,15.74,19.86,0,-8.08,-17.76,-11.84,1.19,-7.96,20.78,21.66,21.73,,,,,,False,8,9,0,0,3,0,0,4,0,24,False,Below Threshold
FHB,"First Hawaiian, Inc.",Financial Services,27.66,2500993,71526211,28.52,26.53,12,BreakoutRetest,29.63,-6.65,Broken / Reclaim Needed,2,3.52,3.16,0,-10.01,-1.15,-8.94,0.8,-43.04,29.04,28.11,28.35,,,,,,False,7,12,0,0,0,0,0,4,1,24,False,Below Threshold
REG,Regency Centers Corporation,Real Estate,76.71,1341653,107111808,79.56,75.45,9,BreakoutRetest,81.93,-6.37,Broken / Reclaim Needed,2,4.42,4.77,0,-11.67,-6.62,-6.89,1.01,-116.1,80.29,78.0,78.14,,,,,,False,7,9,0,0,3,0,0,4,1,24,False,Below Threshold
WULF,TeraWulf Inc.,Technology,17.38,36251623,687528465,21.66,17.73,8,,,,No Valid Support,0,,,0,-8.74,-24.36,-12.51,1.04,-2.96,,,,,,,,,False,9,8,0,0,3,0,0,4,0,24,False,Below Threshold
MARA,"Marathon Digital Holdings, Inc.",Financial Services,9.2,45423261,523091550,12.37,11.3,5,BreakoutRetest,12.37,-25.63,Broken / Reclaim Needed,2,12.77,11.43,1,-18.38,-31.85,-17.32,1.2,-123.98,11.92,9.4,9.84,,,,,,False,9,5,0,0,5,0,0,4,0,23,False,Below Threshold
VERA,"Vera Therapeutics, Inc.",Healthcare,31.63,2313585,83668413,36.17,38.98,3,BreakoutRetest,39.89,-20.71,Broken / Reclaim Needed,2,11.36,11.14,0,-22.29,-10.68,-21.74,1.44,275.29,38.96,33.09,36.5,,,,,,False,7,3,0,0,9,0,0,4,0,23,False,Below Threshold
NBIX,"Neurocrine Biosciences, Inc.",Healthcare,152.72,1337833,227222093,167.95,146.86,12,BreakoutRetest,169.57,-9.94,Broken / Reclaim Needed,2,9.96,9.48,1,-15.07,-6.87,-14.53,0.73,-16.26,166.18,158.63,160.18,,,,,,False,7,12,0,0,0,0,0,4,0,23,False,Below Threshold
CAPR,"Capricor Therapeutics, Inc.",Healthcare,6.65,7297171,53016868,18.24,23.18,3,,,,No Valid Support,0,,,0,-70.24,-81.1,-69.69,1.26,144.91,,,,,,,,,False,7,3,0,0,9,0,0,4,0,23,False,Below Threshold
LNT,Alliant Energy Corporation,Utilities,70.6,2593346,188475062,73.52,70.34,9,BreakoutRetest,75.76,-6.81,Broken / Reclaim Needed,2,3.17,3.59,0,-10.09,-9.09,-3.74,0.98,-5.7,74.24,72.26,72.65,,,,,,False,8,9,0,0,0,0,0,4,1,22,False,Below Threshold
GNTX,Gentex Corporation,Consumer Cyclical,23.87,2465683,58566056,24.41,23.44,6,BreakoutRetest,24.53,-2.69,Broken / Reclaim Needed,2,4.4,5.24,1,-6.42,-0.51,-4.36,0.88,3.17,24.04,24.11,24.16,,,,,,False,7,6,0,0,2,0,0,4,3,22,False,Below Threshold
CELH,"Celsius Holdings, Inc.",Consumer Defensive,29.09,10795675,304260571,29.13,39.16,3,BreakoutRetest,29.56,-1.59,Broken / Reclaim Needed,2,6.23,5.82,2,-4.1,-5.94,-0.71,0.84,-8.3,28.63,29.51,29.56,0.91,1.02,,,,False,8,3,0,0,0,2,2,4,3,22,False,Below Threshold
HUT,Hut 8 Corp.,Financial Services,85.44,4463865,440245666,106.16,72.26,9,SMA50,111.12,-23.11,Broken / Reclaim Needed,2,15.97,15.7,1,-11.02,-14.24,-9.95,0.9,-6.96,105.65,96.75,106.14,,,,,,False,8,9,0,0,0,0,0,4,0,21,False,Below Threshold
TSLA,"Tesla, Inc.",Consumer Cyclical,342.27,38100024,13302031962,371.09,406.08,0,BreakoutRetest,409.28,-16.37,Broken / Reclaim Needed,2,7.44,5.71,0,-14.57,-21.11,-12.52,0.75,11.91,401.09,383.14,396.23,,,,,,False,10,0,0,0,4,0,0,4,3,21,False,Below Threshold
MAR,"Marriott International, Inc.",Consumer Cyclical,356.72,1628410,592047916,374.35,339.37,9,SMA50,375.99,-5.12,Broken / Reclaim Needed,2,5.25,5.49,2,-7.05,-6.36,-4.99,0.71,-43.71,368.47,363.75,364.74,,,,,,False,7,9,0,0,0,0,0,4,1,21,False,Below Threshold
VRSK,"Verisk Analytics, Inc.",Technology,181.67,1693515,329976992,187.86,196.72,3,SMA50,187.42,-3.07,Broken / Reclaim Needed,2,6.75,5.29,1,-13.92,0.61,-17.69,1.25,-10.47,183.24,184.14,184.45,,,,,,False,7,3,0,2,5,0,0,4,0,21,False,Below Threshold
INOD,Innodata Inc.,Technology,63.85,1326821,84826371,74.97,61.35,6,,,,No Valid Support,0,,,0,0.55,-33.41,-3.21,0.79,-15.38,,,,,,,,,False,7,6,0,3,0,0,0,4,1,21,False,Below Threshold
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,148.57,2127783,367258703,180.1,172.92,8,BreakoutRetest,195.0,-23.81,Broken / Reclaim Needed,2,10.55,7.03,0,-33.19,-19.94,-32.7,0.88,-4.86,191.1,157.67,161.58,,,,,,False,8,8,0,0,0,0,0,4,0,20,False,Below Threshold
CLSK,"CleanSpark, Inc.",Financial Services,12.09,22945396,308047621,14.39,12.77,5,BreakoutRetest,15.04,-19.61,Broken / Reclaim Needed,2,25.78,19.88,0,-11.66,-23.51,-10.59,1.14,-23.41,14.39,12.24,12.61,,,,,,False,8,5,0,0,3,0,0,4,0,20,False,Below Threshold
EXTR,"Extreme Networks, Inc.",Technology,24.41,1865428,53979124,29.73,20.63,9,SMA50,29.74,-17.91,Broken / Reclaim Needed,2,14.08,9.2,2,-23.99,-2.11,-27.76,0.71,-20.11,28.9,25.13,27.28,,,,,,False,7,9,0,0,0,0,0,4,0,20,False,Below Threshold
SNEX,StoneX Group Inc.,Financial Services,67.1,1116024,81693897,78.29,59.74,9,BreakoutRetest,78.15,-14.14,Broken / Reclaim Needed,2,7.99,7.99,1,-6.72,-13.78,-5.65,0.97,-3.07,76.16,71.95,75.78,,,,,,False,7,9,0,0,0,0,0,4,0,20,False,Below Threshold
PTON,"Peloton Interactive, Inc.",Consumer Cyclical,5.63,8630186,52033386,5.93,5.65,5,BreakoutRetest,6.54,-13.91,Broken / Reclaim Needed,2,7.51,4.69,0,-12.45,1.84,-10.4,0.79,-16.77,6.39,5.9,5.98,,,,,,False,7,5,0,2,0,0,0,4,2,20,False,Below Threshold
GTX,Garrett Motion Inc.,Consumer Cyclical,29.0,2205045,68036501,32.07,23.1,9,SMA50,32.25,-10.09,Broken / Reclaim Needed,2,4.88,5.21,2,-13.17,-8.69,-11.11,0.96,-1.84,31.61,30.12,32.44,,,,,,False,7,9,0,0,0,0,0,4,0,20,False,Below Threshold
ODFL,"Old Dominion Freight Line, Inc.",Industrials,210.97,1681480,372155042,224.98,191.95,9,BreakoutRetest,233.79,-9.76,Broken / Reclaim Needed,2,4.61,3.3,0,-14.23,-2.62,-13.74,0.84,-8.86,229.11,219.74,220.0,,,,,,False,7,9,0,0,0,0,0,4,0,20,False,Below Threshold
WSC,WillScot Holdings Corporation,Industrials,23.76,2497369,62619317,26.46,22.2,9,BreakoutRetest,26.33,-9.76,Broken / Reclaim Needed,2,4.09,6.84,2,-17.19,-1.87,-16.7,0.77,-25.32,25.67,24.55,26.27,,,,,,False,7,9,0,0,0,0,0,4,0,20,False,Below Threshold
VNOM,"Viper Energy, Inc.",Energy,42.29,1615056,69100563,43.23,42.8,8,BreakoutRetest,44.13,-4.17,Broken / Reclaim Needed,2,4.86,4.03,1,-9.16,-19.04,-12.04,0.72,-100.08,43.25,43.0,43.04,,,,,,False,7,8,0,0,0,0,0,4,1,20,False,Below Threshold
VCYT,"Veracyte, Inc.",Healthcare,41.25,1241991,64142534,53.09,42.37,8,Horizontal,54.88,-24.84,Broken / Reclaim Needed,2,8.92,9.58,0,-34.68,-6.86,-34.14,0.71,-10.39,53.21,42.1,43.05,,,,,,False,7,8,0,0,0,0,0,4,0,19,False,Below Threshold
LASR,"nLIGHT, Inc.",Technology,52.6,1346347,85786095,65.79,56.38,8,SMA50,69.57,-24.39,Broken / Reclaim Needed,2,14.67,20.04,0,-28.49,-30.11,-32.26,0.58,-21.1,66.2,55.92,67.72,,,,,,False,7,8,0,0,0,0,0,4,0,19,False,Below Threshold
CMPO,"CompoSecure, Inc.",Industrials,17.65,4573312,88761508,22.39,19.2,8,SMA50,22.48,-21.48,Broken / Reclaim Needed,2,6.91,11.65,1,-26.31,-14.78,-25.83,0.54,-80.24,21.86,18.19,19.6,,,,,,False,7,8,0,0,0,0,0,4,0,19,False,Below Threshold
VISN,"Vistance Networks, Inc.",Technology,11.53,7078807,82672933,12.13,15.89,0,SMA50,12.23,-5.72,Broken / Reclaim Needed,2,5.93,6.55,1,-9.39,-2.58,-13.16,1.14,3.83,11.93,11.97,12.5,,,,,,False,7,0,0,0,5,0,0,4,3,19,False,Below Threshold
GLXY,Galaxy Digital,Financial Services,21.66,6441444,142505595,25.54,25.66,0,,,,No Valid Support,0,,,0,-4.31,-27.19,-3.24,0.98,10.84,,,,,,,,,False,8,0,0,0,4,0,0,4,3,19,False,Below Threshold
GT,The Goodyear Tire & Rubber Company,Consumer Cyclical,6.11,9226269,62676497,6.59,7.5,3,Horizontal,6.83,-10.54,Broken / Reclaim Needed,2,8.75,6.76,0,-20.63,3.3,-18.58,0.9,-15.6,6.67,6.26,6.69,,,,,,False,7,3,0,4,0,0,0,4,0,18,False,Below Threshold
GLPI,"Gaming and Leisure Properties, Inc.",Real Estate,43.57,2429133,107024101,44.87,45.59,0,SMA50,45.89,-5.06,Broken / Reclaim Needed,2,4.48,3.97,1,-7.8,-14.14,-3.02,1.06,-13.35,44.97,44.95,45.11,,,,,,False,8,0,0,0,3,0,0,4,3,18,False,Below Threshold
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,228.65,2131450,531896407,273.17,336.7,0,,,,No Valid Support,0,,,0,-18.96,-28.11,-18.41,0.69,12.52,,,,,,,,,False,8,0,0,0,4,0,0,4,2,18,False,Below Threshold
PODD,Insulet Corp.,Healthcare,143.34,1568435,241117951,154.99,223.41,0,BreakoutRetest,161.35,-11.16,Broken / Reclaim Needed,2,9.75,6.49,0,-17.08,-13.1,-16.53,0.76,10.38,157.03,150.42,150.89,,,,,,False,7,0,0,0,4,0,0,4,2,17,False,Below Threshold
WING,Wingstop Inc.,Consumer Cyclical,126.12,1292663,175018441,145.1,199.48,0,BreakoutRetest,134.75,-6.4,Broken / Reclaim Needed,2,9.42,9.77,0,-15.84,-6.34,-13.78,0.93,12.41,130.64,134.75,147.11,,,,,,False,7,0,0,0,4,0,0,4,2,17,False,Below Threshold
SHLS,"Shoals Technologies Group, Inc.",Technology,8.45,5540349,52695555,9.73,8.8,5,BreakoutRetest,10.5,-19.52,Broken / Reclaim Needed,2,18.08,10.3,0,-22.41,-14.75,-26.17,0.88,-26.58,10.14,9.05,9.32,,,,,,False,7,5,0,0,0,0,0,4,0,16,False,Below Threshold
COIN,"Coinbase Global, Inc.",Financial Services,148.47,7204008,1134269208,157.95,202.98,0,Horizontal,153.19,-3.08,Broken / Reclaim Needed,2,18.95,10.33,0,-9.95,-29.06,-8.88,1.03,-3.51,148.87,155.4,164.98,,,,,,False,9,0,0,0,3,0,0,4,0,16,False,Below Threshold
WMG,Warner Music Group Corp.,Communication Services,25.65,2230599,60432560,27.62,28.88,0,BreakoutRetest,29.15,-12.01,Broken / Reclaim Needed,2,4.82,4.8,0,-13.91,-31.0,-11.54,0.84,44.08,28.52,27.1,27.9,,,,,,False,7,0,0,0,4,0,0,4,0,15,False,Below Threshold
SIVB,SVB Financial Group,Financial Services,106.04,1990893,347561636,276.24,330.89,3,BreakoutRetest,305.68,-65.31,Broken / Reclaim Needed,2,16.49,5.01,0,-71.35,-57.67,-70.28,0.15,-322.53,294.96,219.8,235.85,,,,,,False,7,3,0,0,0,0,0,4,0,14,False,Below Threshold
RUN,Sunrun Inc.,Technology,10.19,10074510,109934477,11.82,15.27,0,,,,No Valid Support,0,,,0,-18.45,-28.43,-22.22,0.8,-5.17,,,,,,,,,False,8,0,0,0,0,0,0,4,2,14,False,Below Threshold
APP,AppLovin Corporation,Technology,315.44,6851925,2764614392,450.23,508.19,0,BreakoutRetest,530.55,-40.54,Broken / Reclaim Needed,2,6.83,6.7,0,-30.14,-39.66,-33.91,0.69,-12.56,518.8,420.95,435.0,,,,,,False,9,0,0,0,0,0,0,4,0,13,False,Below Threshold
SMMT,Summit Therapeutics Inc.,Healthcare,13.35,3893301,55064756,14.24,16.74,0,SMA50,15.03,-11.18,Broken / Reclaim Needed,2,5.15,11.7,0,-7.78,-21.58,-7.23,0.65,-28.35,14.63,13.98,14.58,,,,,,False,7,0,0,0,0,0,0,4,2,13,False,Below Threshold
TTD,"The Trade Desk, Inc.",Technology,14.14,23868192,393365854,18.15,27.46,0,SMA50,19.37,-26.99,Broken / Reclaim Needed,2,5.45,9.4,0,-28.38,-38.98,-32.15,0.58,-52.7,18.74,19.51,19.55,,,,,,False,8,0,0,0,0,0,0,4,0,12,False,Below Threshold
FLNC,"Fluence Energy, Inc.",Utilities,13.14,8240420,118639833,17.47,18.69,0,BreakoutRetest,14.45,-9.07,Broken / Reclaim Needed,2,11.39,18.03,0,-11.06,-32.44,-4.71,0.68,-245.1,13.82,13.69,13.75,,,,,,False,8,0,0,0,0,0,0,4,0,12,False,Below Threshold
